,temperature_text,color_code,url_suffix,temperature,coordinates_str,lat,long
68,"46.0 °C (114.8 °F)
",#C00000,"/wiki/Julfa,_Azerbaijan_(city)",46.0,"('38°57′21″N', '45°37′51″E')",38.95583333333334,45.630833333333335
69,"38.9 °C (102.0 °F)
",#FF1100,/wiki/Gomel,38.9,"('52°26′43″N', '30°59′03″E')",52.445277777777775,30.984166666666667
70,"41.8 °C (107.2 °F)
",#FA0000,/wiki/Begijnendijk,41.8,"('51°01′N', '04°47′E')",51.016666666666666,4.783333333333333
71,"46.2 °C (115.2 °F)
",#BE0000,/wiki/Mostar,46.2,"('43°20′37″N', '17°48′27″E')",43.343611111111116,17.8075
72,"45.2 °C (113.4 °F)
",#CB0000,/wiki/Sadovo,45.2,"('42°07′59″N', '24°55′59″E')",42.13305555555556,24.93305555555556
73,"42.8 °C (109.0 °F)
",#ED0000,/wiki/Plo%C4%8De,42.8,"('43°03′N', '17°26′E')",43.05,17.433333333333334
74,"46.2 °C (115.2 °F)
",#BE0000,/wiki/Nicosia,46.2,"('35°10′21″N', '33°21′54″E')",35.1725,33.365
75,"40.4 °C (104.7 °F)
",#FF0700,/wiki/Dob%C5%99ichovice,40.4,"('49°55′39″N', '14°16′38″E')",49.927499999999995,14.277222222222223
76,"36.4 °C (97.5 °F)
",#FF2300,/wiki/Holstebro,36.4,"(None, None)",,
77,"35.6 °C (96.1 °F)
",#FF2800,/wiki/V%C3%B5ru,35.6,"('57°50′55″N', '26°59′34″E')",57.84861111111111,26.99277777777778
78,"37.2 °C (99.0 °F)
",#FF1D00,/wiki/Joensuu_Airport,37.2,"('62°39′32″N', '029°37′28″E')",62.65888888888889,29.624444444444446
79,"46.0 °C (114.8 °F)
",#C00000,/wiki/V%C3%A9rargues,46.0,"('43°43′02″N', '4°06′01″E')",43.717222222222226,4.1002777777777775
80,"41.2 °C (106.2 °F)
",#FF0200,/wiki/Duisburg,41.2,"('51°26′05″N', '6°45′45″E')",51.43472222222222,6.7625
81,"48.0 °C (118.4 °F)
",#A50000,/wiki/Elefsina,48.0,"('38°2′N', '23°32′E')",38.03333333333333,23.533333333333335
82,"41.9 °C (107.4 °F)
",#F90000,/wiki/Kiskunhalas,41.9,"('46°25′55″N', '19°29′18″E')",46.43194444444444,19.488333333333333
83,"30.5 °C (86.9 °F)
",#FF4B00,/wiki/Dj%C3%BApivogur,30.5,"('64°39′N', '14°17′W')",64.65,-14.283333333333333
84,"33.3 °C (91.9 °F)
",#FF3800,/wiki/Kilkenny_Castle,33.3,"('52°39′01″N', '07°14′57″W')",52.650277777777774,-7.2491666666666665
85,"48.8 °C (119.8 °F)
",#9A0000,/wiki/Floridia,48.8,"('37°05′N', '15°09′E')",37.083333333333336,15.15
86,"37.8 °C (100.0 °F)
",#FF1900,/wiki/Ventspils,37.8,"('57°23′26″N', '21°34′24″E')",57.39055555555556,21.573333333333334
87,"37.4 °C (99.3 °F)
",#FF1C00,/wiki/Ruggell,37.4,"('47°14′36″N', '9°31′48″E')",47.24333333333333,9.530000000000001
88,"37.5 °C (99.5 °F)
",#FF1B00,/wiki/Zarasai,37.5,"('55°44′0″N', '26°15′0″E')",55.733333333333334,26.25
89,"40.8 °C (105.4 °F)
",#FF0400,/wiki/Steinsel,40.8,"('49°40′35″N', '6°07′25″E')",49.67638888888889,6.123611111111111
90,"43.8 °C (110.8 °F)
",#DF0000,/wiki/Malta_International_Airport,43.8,"('35°51′27″N', '014°28′39″E')",35.8575,14.477500000000001
